window,source,records,unique_mmsi,avg_msgs_vessel,lat_min,lat_max,lon_min,lon_max,load_s,input_size_mb,full_day_records,yield_pct
00h-03h,original_nm4,17681754,169121,104.6,-87.9991,90.0,-179.9996,180.0,-1767020461.11,24437.42,35741119,24.1
00h-03h,original_streaming,2931650,3244,903.7,-56.1127,74.7228,-135.6939,121.2318,-1767020457.15,4016.87,5520668,22.64
00h-03h,aisdb_nm4,14806799,156524,94.6,-87.9991,90.0,-179.9996,180.0,317.91,18244.09,30004585,24.86
00h-03h,aisdb_streaming,968529,2906,333.3,0.0,55.5212,-135.6939,55.6498,13.48,1127.94,1842694,25.23
00h-03h,reference_csv,0,0,,,,,,-1767020018.73,3814.22,0,0.0
21h-24h,original_nm4,18059365,163513,110.4,-88.8533,88.5925,-179.9998,180.0,-1767020461.11,24437.42,35741119,24.1
21h-24h,original_streaming,2589018,3369,768.5,-56.1155,77.6381,-179.1417,55.6498,-1767020457.15,4016.87,5520668,22.64
21h-24h,aisdb_nm4,15197786,152832,99.4,-88.8533,88.5925,-179.9998,180.0,317.91,18244.09,30004585,24.86
21h-24h,aisdb_streaming,874165,3033,288.2,0.0,77.6381,-134.1557,55.6498,13.48,1127.94,1842694,25.23
21h-24h,reference_csv,0,0,,,,,,-1767020018.73,3814.22,0,0.0
